#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
    3358  259.764887  59.756531   52552.079525   52552.140062  95.000000  82.500000 214.081747  -1.057920
    3360  307.513582  -1.267018   52552.164808   52552.377103  95.000000   0.000000 307.513582  -1.267018
    3362   21.437665  -1.057983   52552.391109   52552.484402  95.000000   0.000000  21.437665  -1.057983
    3384  307.368988  -1.058103   52557.160323   52557.476276  95.000000   0.000000 307.368988  -1.058103
    3388  313.745695  -1.267459   52558.190516   52558.486153  95.000000   0.000000 313.745695  -1.267459
    3427  312.117508  -1.267018   52576.098262   52576.147188  95.000000   0.000000 312.117508  -1.267018
    3430   22.025783  -1.265616   52576.212673   52576.256210  95.000000   0.000000  22.025783  -1.265616
    3434  311.304583  -1.267961   52577.071244   52577.298464  95.000000   0.000000 311.304583  -1.267961
    3437  311.235487  -1.058194   52578.067106   52578.267375  95.000000   0.000000 311.235487  -1.058194
    3438   31.599005  -1.267470   52578.277741   52578.356522  95.000000   0.000000  31.599005  -1.267470
    3460   22.485154  -1.267570   52585.215479   52585.319552  95.000000   0.000000  22.485154  -1.267570
    3461   43.745645  -1.058526   52585.328577   52585.373358  95.000000   0.000000  43.745645  -1.058526
    3462  114.689761  18.427302   52585.382266   52585.500023  95.000000  47.500000 121.687067  -1.267301
    3465  326.800608  -1.267252   52586.117645   52586.262353  95.000000   0.000000 326.800608  -1.267252
    3478  122.975883   3.658179   52591.446865   52591.507402  95.000000  10.000000 123.176664  -1.057614
    3513  114.875737  18.889049   52614.345574   52614.402378  95.000000  47.500000 122.134445  -1.057082
    3518  142.255681   6.309705   52615.461039   52615.515356  95.000000  10.000000 142.566645  -1.061175
    3525  164.518647   8.318605   52619.438861   52619.524276  95.000000  10.000000 164.740032  -1.058896
    3530  119.985349  23.326980   52621.365677   52621.529043  95.000000  47.500000 128.647002  -1.056710
    3538  119.764053   4.011430   52622.385917   52622.515697  95.000000  12.500000 120.036548  -1.268826
    3560  113.128612  15.571028   52639.250190   52639.378311  95.000000  45.000000 118.693951  -1.268141
    3562  148.340876  37.342606   52639.443705   52639.500095  95.000000  45.000000 156.654575  -1.263694
    3605  113.551993  16.222836   52664.166093   52664.234923  95.000000  45.000000 119.433471  -1.058401
    3606  126.412658  26.200966   52664.244350   52664.309033  95.000000  45.000000 135.014955  -1.058478
    3610   35.501527  47.158934   52666.103567   52666.158715  95.000000 -52.500000  25.193004  -1.056148
    3615  143.664095  35.705342   52666.253171   52666.288000  95.000000  45.000000 152.560138  -1.057297
    3628   34.962105  47.091719   52667.068772   52667.127651  95.000000 -52.500000  24.883341  -1.264402
    3629   39.775784  45.764014   52667.136341   52667.185268  95.000000 -52.500000  28.450961  -1.056710
    3630  118.395835   3.950333   52667.194781   52667.302586  95.000000  12.500000 118.686200  -1.058955
    3631  118.520388   4.798752   52667.310838   52667.515255  95.000000  15.000000 118.946102  -1.267522
    3634   32.905424  45.353074   52668.068082   52668.126130  95.000000 -50.000000  24.204797  -1.055409
    3635  114.999137  15.758172   52668.135375   52668.224936  95.000000  42.500000 120.230205  -1.268857
    3644  114.363380  15.525149   52671.160786   52671.286422  95.000000  42.500000 119.609504  -1.059108
    3647  138.626172  31.092086   52671.342212   52671.418920  95.000000  42.500000 146.685944  -1.055360
    3650  185.359817  48.735298   52671.477910   52671.530153  95.000000  50.000000 185.237370  -1.264131
    3664  208.462323  46.220726   52681.448836   52681.517251  95.000000  50.000000 200.994034  -1.265918
    3698  152.539962  41.258301   52704.309304   52704.399280  95.000000  47.500000 161.198551  -1.268121
    3699  182.635409  46.207277   52704.407798   52704.508140  95.000000  47.500000 183.363423  -1.267824
    3704  133.417378  28.164873   52705.246855   52705.322318  95.000000  42.500000 141.298514  -1.265875
    3705  189.269142  56.369376   52705.332852   52705.501608  95.000000  57.500000 187.363292  -1.056353
    3712  164.512375  54.457371   52708.359673   52708.465821  95.000000  57.500000 173.257682  -1.264520
    3716  180.419957  46.352018   52709.397911   52709.496595  95.000000  47.500000 181.839965  -1.054859
    3723  224.080512  39.076696   52710.403011   52710.500865  95.000000  47.500000 214.305990  -1.055917
    3804  158.961714   9.992512   52721.134828   52721.218586  95.000000  12.500000 159.378865  -1.267187
    3805  188.643656  11.208047   52721.229068   52721.280067  95.000000  12.500000 188.574949  -1.267358
    3813  143.669716  35.706930   52722.100340   52722.323829  95.000000  45.000000 152.564916  -1.058025
    3818  153.741265  39.165233   52724.227955   52724.403760  95.000000  45.000000 161.270545  -1.264824
    3830  119.084278   5.155169   52728.139511   52728.270950  95.000000  15.000000 119.576429  -1.054301
    3836  149.999113   9.225381   52729.135213   52729.399751  95.000000  12.500000 150.509702  -1.059088
    3838  193.556885  50.915195   52729.426634   52729.478464  95.000000  52.500000 190.384059  -1.265697
    3840  158.856988  38.112478   52730.106706   52730.204560  95.000000  42.500000 164.710754  -1.267616
    3841  166.353481   5.841011   52730.213208   52730.345478  95.000000   7.500000 166.449120  -1.268341
    3842  182.595011   6.436256   52730.354059   52730.455645  95.000000   7.500000 182.609770  -1.057197
    3893  155.706612  37.510696   52754.115803   52754.302803  95.000000  42.500000 162.158465  -1.056670
    3894  205.082804  10.492122   52754.312164   52754.445676  95.000000  12.500000 204.737964  -1.266159
    3900  129.686041  24.033996   52755.126182   52755.450013  95.000000  40.000000 136.307533  -1.265789
    3903  187.473691   8.932415   52756.127237   52756.288117  95.000000  10.000000 187.444089  -1.058425
    3905  201.247204   6.145798   52756.299245   52756.350660  95.000000   7.500000 201.154089  -1.057183
    3909  196.813892   8.523119   52757.187838   52757.321766  95.000000  10.000000 196.684476  -1.268400
    3910  211.746552   5.646815   52757.330342   52757.420318  95.000000   7.500000 211.611398  -1.056640
    3911  236.067666  30.881052   52757.429360   52757.454654  95.000000  45.000000 226.891674  -1.055823
    3918  190.624179  51.305867   52758.124581   52758.292095  95.000000  52.500000 188.513182  -1.057310
    3919  201.407664  40.027920   52758.301616   52758.447154  95.000000  42.500000 197.494657  -1.264351
    3926  227.506361  37.357677   52760.273595   52760.362741  95.000000  47.500000 217.493083  -1.265503
